Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip,Taxpayer County,Location Number,Location Name,Location Address,Location City,Location State,Location Zip,Location County,Inside/Outside City Limits,TABC Permit Number,Responsibility Begin Date,Responsibility End Date,Obligation End Date,Liquor Receipts,Wine Receipts,Beer Receipts,Cover Charge Receipts,Total Receipts
32050601148,"MOJEAUXS LOUISIANA DRINKERY, L.L.C.",1811 SOUTHMORE BLVD,HOUSTON,TX,77004,101,1,MOJEAUXS LOUISIANA DRINKERY,2024 RUSK ST,HOUSTON,TX,77003,101,Y,MB844120,06/21/2013,07/09/2015,11/30/2014,11915,1085,6381,0,19381
32041117238,WE HEART BEER LLC,3004 CANAL ST,HOUSTON,TX,77003,101,2,VOODOO QUEEN,322 MILBY ST STE A,HOUSTON,TX,77003,101,Y,MB843270,06/13/2013,09/01/2017,08/31/2014,33453,0,12940,0,46393
17606265134,STEPHEN TRUONG'S LIMITED PARTNERSHIP,10310 WESTPARK DR,HOUSTON,TX,77042,101,4,KIM PHUNG CHINESE VIETNAMESE RESTAURANT,2200 JEFFERSON ST STE 1,HOUSTON,TX,77003,101,Y,MB481356,10/06/2000,05/20/2014,05/31/2012,0,0,0,0,0
17419812965,MERIDA INC.,2509 NAVIGATION BLVD,HOUSTON,TX,77003,101,1,MERIDA RESTAURANT,2509 NAVIGATION BLVD,HOUSTON,TX,77003,101,Y,MB117478,12/01/1993,,07/31/2007,564,24,693,0,1281
32050601148,"MOJEAUXS LOUISIANA DRINKERY, L.L.C.",1811 SOUTHMORE BLVD,HOUSTON,TX,77004,101,1,MOJEAUXS LOUISIANA DRINKERY,2024 RUSK ST,HOUSTON,TX,77003,101,Y,MB844120,06/21/2013,07/09/2015,04/30/2015,11893,599,6029,0,18521
32062604916,"HUSTLE AT 2704 GROUP, LP",2117 EVERETT ST,HOUSTON,TX,77009,101,1,NANCY'S HUSTLE,2704 POLK ST STE A,HOUSTON,TX,77003,101,Y,MB995444,09/26/2017,,12/31/2017,21749,45359,3024,0,70132
32062604916,"HUSTLE AT 2704 GROUP, LP",2117 EVERETT ST,HOUSTON,TX,77009,101,1,NANCY'S HUSTLE,2704 POLK ST STE A,HOUSTON,TX,77003,101,Y,MB995444,09/26/2017,,12/31/2021,44273,44757,2620,0,91650
12049269280,"ORIGINAL NINFA'S, L.P.",1050 N POST OAK RD STE 200,HOUSTON,TX,77055,101,1,NINFA'S ON NAVIGATION,2704 NAVIGATION BLVD,HOUSTON,TX,77003,101,Y,MB639140,09/13/2006,,05/31/2010,119510,5040,17639,0,142189
17606265134,STEPHEN TRUONG'S LIMITED PARTNERSHIP,10310 WESTPARK DR,HOUSTON,TX,77042,101,4,KIM PHUNG CHINESE VIETNAMESE RESTAURANT,2200 JEFFERSON ST STE 1,HOUSTON,TX,77003,101,Y,MB481356,10/06/2000,05/20/2014,01/31/2014,0,0,0,0,0
32048012549,"EL TIEMPO ELMDALE, LLC",602 SAWYER ST STE 110,HOUSTON,TX,77007,101,1,EL TIEMPO CANTINA NAVIGATION,2814 NAVIGATION BLVD,HOUSTON,TX,77003,101,Y,MB832403,02/21/2013,,02/28/2017,106616,3666,23091,0,133373
32020658889,NICOLAS D HERMEZ,1701 WEBSTER ST STE A,HOUSTON,TX,77003,101,1,SKOL CASBAR & GRILLE,2117 CHENEVERT ST STE M,HOUSTON,TX,77003,101,Y,MB647654,12/21/2006,02/29/2012,09/30/2009,449,30,160,0,639
17606265134,STEPHEN TRUONG'S LIMITED PARTNERSHIP,10310 WESTPARK DR,HOUSTON,TX,77042,101,4,KIM PHUNG CHINESE VIETNAMESE RESTAURANT,2200 JEFFERSON ST STE 1,HOUSTON,TX,77003,101,Y,MB481356,10/06/2000,05/20/2014,10/31/2012,0,0,0,0,0
17419812965,MERIDA INC.,2509 NAVIGATION BLVD,HOUSTON,TX,77003,101,1,MERIDA RESTAURANT,2509 NAVIGATION BLVD,HOUSTON,TX,77003,101,Y,MB117478,12/01/1993,,06/30/2012,810,88,1994,0,2892
32048012549,"EL TIEMPO ELMDALE, LLC",602 SAWYER ST STE 110,HOUSTON,TX,77007,101,1,EL TIEMPO CANTINA NAVIGATION,2814 NAVIGATION BLVD,HOUSTON,TX,77003,101,Y,MB832403,02/21/2013,,11/30/2014,97049,5574,23254,0,125877
12049269280,"ORIGINAL NINFA'S, L.P.",1050 N POST OAK RD STE 200,HOUSTON,TX,77055,101,1,NINFA'S ON NAVIGATION,2704 NAVIGATION BLVD,HOUSTON,TX,77003,101,Y,MB639140,09/13/2006,,02/28/2018,144039,6568,19924,0,170531
12611997144,"ROCKSTAR HOUSTON, LLC.",6017 ARDMORE ST,HOUSTON,TX,77021,101,1,ROCKSTAR CLUB,2524 MCKINNEY ST,HOUSTON,TX,77003,101,Y,MB681583,01/23/2008,01/22/2011,05/31/2009,6460,888,1237,0,8585
17419812965,MERIDA INC.,2509 NAVIGATION BLVD,HOUSTON,TX,77003,101,1,MERIDA RESTAURANT,2509 NAVIGATION BLVD,HOUSTON,TX,77003,101,Y,MB117478,12/01/1993,,04/30/2007,523,21,676,0,1220
32020658889,NICOLAS D HERMEZ,1701 WEBSTER ST STE A,HOUSTON,TX,77003,101,2,SKOL CASBAR & GRILLE,1701 WEBSTER ST STE A,HOUSTON,TX,77003,101,Y,MB647654,03/01/2012,12/31/2016,11/30/2015,410,200,100,0,710
12089606789,"NDJ HOLDINGS, LLC",2300 PIERCE ST,HOUSTON,TX,77003,101,1,GROOVES RESTAURANT & BAR,2300 PIERCE ST,HOUSTON,TX,77003,101,Y,MB665722,07/16/2007,01/04/2011,10/31/2008,59103,4766,6952,0,70821
32046638105,"HOUSTON GROOVES, LLC",2300 PIERCE ST,HOUSTON,TX,77003,101,1,GROOVES OF HOUSTON,2300 PIERCE ST,HOUSTON,TX,77003,101,Y,MB776942,05/25/2012,,10/31/2016,60426,444,4019,0,64889
32046638105,"HOUSTON GROOVES, LLC",2300 PIERCE ST,HOUSTON,TX,77003,101,1,GROOVES OF HOUSTON,2300 PIERCE ST,HOUSTON,TX,77003,101,Y,MB776942,05/25/2012,,02/29/2016,76970,1046,4980,0,82996
12611997144,"ROCKSTAR HOUSTON, LLC.",6017 ARDMORE ST,HOUSTON,TX,77021,101,1,ROCKSTAR CLUB,2524 MCKINNEY ST,HOUSTON,TX,77003,101,Y,MB681583,01/23/2008,01/22/2011,06/30/2008,1559,246,190,0,1995
12028659519,"BIG CITY ENTERTAINMENT, LP",813 ST EMANUEL ST,HOUSTON,TX,77003,101,1,WAREHOUSE LIVE,813 SAINT EMANUEL ST,HOUSTON,TX,77003,101,Y,MB619518,02/07/2006,,06/30/2014,43100,729,30843,0,74672
12028659519,"BIG CITY ENTERTAINMENT, LP",813 ST EMANUEL ST,HOUSTON,TX,77003,101,1,WAREHOUSE LIVE,813 SAINT EMANUEL ST,HOUSTON,TX,77003,101,Y,MB619518,02/07/2006,,05/31/2015,41695,2272,38814,0,82781
32044905753,"WENDCEAZ ENTERPRISES, LLC",PO BOX 1303,FRIENDSWOOD,TX,77549,84,1,BURRO'S LATIN GRILL,2012 RUSK ST,HOUSTON,TX,77003,101,Y,MB806450,05/08/2012,12/10/2013,12/31/2013,0,0,0,0,0
12049269280,"ORIGINAL NINFA'S, L.P.",1050 N POST OAK RD STE 200,HOUSTON,TX,77055,101,1,NINFA'S ON NAVIGATION,2704 NAVIGATION BLVD,HOUSTON,TX,77003,101,Y,MB639140,09/13/2006,,08/31/2012,131540,19665,6957,0,158162
12611997144,"ROCKSTAR HOUSTON, LLC.",6017 ARDMORE ST,HOUSTON,TX,77021,101,1,ROCKSTAR CLUB,2524 MCKINNEY ST,HOUSTON,TX,77003,101,Y,MB681583,01/23/2008,01/22/2011,04/30/2010,1482,474,0,0,1956
17419812965,MERIDA INC.,2509 NAVIGATION BLVD,HOUSTON,TX,77003,101,1,MERIDA RESTAURANT,2509 NAVIGATION BLVD,HOUSTON,TX,77003,101,Y,MB117478,12/01/1993,,07/31/2009,530,24,659,0,1213
32048012549,"EL TIEMPO ELMDALE, LLC",602 SAWYER ST STE 110,HOUSTON,TX,77007,101,1,EL TIEMPO CANTINA NAVIGATION,2814 NAVIGATION BLVD,HOUSTON,TX,77003,101,Y,MB832403,02/21/2013,,09/30/2015,98124,4363,21158,0,123645
32062497428,"LUCKY'S LODGE, LLC",8423 WESTVIEW DR,HOUSTON,TX,77055,101,1,LUCKY'S LODGE,2024 RUSK ST,HOUSTON,TX,77003,101,Y,MB987157,06/30/2017,,03/31/2018,20302,734,9267,0,30303
32046638105,"HOUSTON GROOVES, LLC",2300 PIERCE ST,HOUSTON,TX,77003,101,1,GROOVES OF HOUSTON,2300 PIERCE ST,HOUSTON,TX,77003,101,Y,MB776942,05/25/2012,,11/30/2017,53608,416,4859,0,58883
17419812965,MERIDA INC.,2509 NAVIGATION BLVD,HOUSTON,TX,77003,101,1,MERIDA RESTAURANT,2509 NAVIGATION BLVD,HOUSTON,TX,77003,101,Y,MB117478,12/01/1993,,03/31/2014,3370,138,1236,0,4744
12028659519,"BIG CITY ENTERTAINMENT, LP",813 ST EMANUEL ST,HOUSTON,TX,77003,101,1,WAREHOUSE LIVE,813 SAINT EMANUEL ST,HOUSTON,TX,77003,101,Y,MB619518,02/07/2006,,01/31/2012,39143,1981,22984,0,64108
32062497428,"LUCKY'S LODGE, LLC",8423 WESTVIEW DR,HOUSTON,TX,77055,101,1,LUCKY'S LODGE,2024 RUSK ST,HOUSTON,TX,77003,101,Y,MB987157,06/30/2017,,01/31/2018,9273,776,4670,0,14719
17606265134,STEPHEN TRUONG'S LIMITED PARTNERSHIP,10310 WESTPARK DR,HOUSTON,TX,77042,101,4,KIM PHUNG CHINESE VIETNAMESE RESTAURANT,2200 JEFFERSON ST STE 1,HOUSTON,TX,77003,101,Y,MB481356,10/06/2000,05/20/2014,09/30/2007,8,158,137,0,303
32004448380,LORENZO DE ZAVALA MASONIC LODGE 1397,310 ENID STREET,HOUSTON,TX,77009,101,1,FUNDRAISER,1730 JEFFERSON ST,HOUSTON,TX,77003,101,Y,TB628375,10/31/2009,10/31/2009,10/31/2009,0,0,576,0,576
32020658889,NICOLAS D HERMEZ,1701 WEBSTER ST STE A,HOUSTON,TX,77003,101,1,SKOL CASBAR & GRILLE,2117 CHENEVERT ST STE M,HOUSTON,TX,77003,101,Y,MB647654,12/21/2006,02/29/2012,02/28/2011,810,18,420,0,1248
17606267494,"SPORTS @ THE B.U.S., LTD.",942 BOROS DR,HOUSTON,TX,77024,101,1,THE B U S,1800 TEXAS ST STE 500,HOUSTON,TX,77003,101,Y,MB461962,10/24/2000,09/30/2011,06/30/2009,22626,277,72333,0,95236
17606265134,STEPHEN TRUONG'S LIMITED PARTNERSHIP,10310 WESTPARK DR,HOUSTON,TX,77042,101,4,KIM PHUNG CHINESE VIETNAMESE RESTAURANT,2200 JEFFERSON ST STE 1,HOUSTON,TX,77003,101,Y,MB481356,10/06/2000,05/20/2014,09/30/2008,0,0,0,0,0
17606265134,STEPHEN TRUONG'S LIMITED PARTNERSHIP,10310 WESTPARK DR,HOUSTON,TX,77042,101,4,KIM PHUNG CHINESE VIETNAMESE RESTAURANT,2200 JEFFERSON ST STE 1,HOUSTON,TX,77003,101,Y,MB481356,10/06/2000,05/20/2014,06/30/2010,0,0,0,0,0
